CustomerID,R,F,M,R-Score,F-Score,M-Score,RFM-Score,RFM-Level,R-log,F-log,M-log,labels
12346.0,326.0,1,77183.6,1,1,4,114,1,5.786897381366708,0.0,11.253942278212147,2
12347.0,2.0,7,4309.999999999997,4,4,4,444,1,0.6931471805599453,1.9459101490553132,8.368693183097793,5
12348.0,75.0,4,1797.24,2,3,4,234,2,4.31748811353631,1.3862943611198906,7.494007433792304,6
12349.0,19.0,1,1757.55,3,1,4,314,2,2.9444389791664403,0.0,7.471676072782274,4
12350.0,310.0,1,334.40000000000003,1,1,2,112,1,5.736572297479192,0.0,5.812337881210547,0
12352.0,36.0,8,2506.040000000001,3,4,4,344,3,3.58351893845611,2.0794415416798357,7.8264590970205665,2
12353.0,204.0,1,89.0,1,1,1,111,1,5.318119993844216,0.0,4.48863636973214,0
12354.0,232.0,1,1079.4,1,1,3,113,1,5.44673737166631,0.0,6.984160610184542,6
12355.0,214.0,1,459.4,1,1,2,112,1,5.365976015021851,0.0,6.129921290254998,0
12356.0,23.0,3,2811.4300000000007,3,3,4,334,3,3.1354942159291497,1.0986122886681098,7.941448529680883,2
12357.0,33.0,1,6207.669999999996,3,1,4,314,2,3.4965075614664802,0.0,8.733540903233663,2
12358.0,2.0,2,1168.06,4,2,3,423,3,0.6931471805599453,0.6931471805599453,7.0630995319318,1
12359.0,58.0,4,6310.030000000005,2,3,4,234,2,4.060443010546419,1.3862943611198906,8.74989570988212,2
12360.0,52.0,3,2662.0600000000004,2,3,4,234,2,3.9512437185814275,1.0986122886681098,7.886855538145075,2
12361.0,287.0,1,189.89999999999998,1,1,1,111,1,5.659482215759621,0.0,5.24649761781824,0
12362.0,3.0,10,5226.230000000003,4,4,4,444,1,1.0986122886681098,2.302585092994046,8.561445455827768,5
12363.0,110.0,2,552.0,2,2,2,222,2,4.700480365792417,0.6931471805599453,6.313548046277095,6
12364.0,8.0,4,1313.1000000000001,4,3,3,433,4,2.0794415416798357,1.3862943611198906,7.180146032864959,1
12365.0,291.0,2,641.38,1,2,2,122,1,5.673323267171493,0.6931471805599453,6.463622104983058,6
12367.0,4.0,1,168.9,4,1,1,411,3,1.3862943611198906,0.0,5.129306823813755,3
12370.0,51.0,4,3541.939999999998,3,3,4,334,3,3.9318256327243257,1.3862943611198906,8.172429878617145,2
12371.0,45.0,2,1887.9600000000003,3,2,4,324,3,3.8066624897703196,0.6931471805599453,7.543252160040332,4
12372.0,72.0,3,1298.0400000000002,2,3,3,233,2,4.276666119016055,1.0986122886681098,7.168610713430199,6
12373.0,311.0,1,364.6,1,1,2,112,1,5.739792912179234,0.0,5.8988008622445625,0
12374.0,25.0,1,742.93,3,1,3,313,2,3.2188758248682006,0.0,6.610601827628055,4
12375.0,11.0,2,457.5000000000001,4,2,2,422,3,2.3978952727983707,0.6931471805599453,6.1257768847155765,4
12377.0,315.0,2,1628.1199999999997,1,2,3,123,1,5.752572638825633,0.6931471805599453,7.395181253919741,6
12378.0,130.0,1,4008.6200000000013,2,1,4,214,1,4.867534450455582,0.0,8.296202321420104,6
12379.0,82.0,2,852.2399999999997,2,2,3,223,2,4.406719247264253,0.6931471805599453,6.747868177302942,6
12380.0,22.0,4,2724.81,3,3,4,334,3,3.091042453358316,1.3862943611198906,7.910153979895817,2
12381.0,5.0,5,1845.3100000000006,4,3,4,434,4,1.6094379124341003,1.6094379124341003,7.520402564040783,1
12383.0,185.0,5,1850.5599999999997,1,3,4,134,1,5.220355825078324,1.6094379124341003,7.523243574969853,6
12384.0,29.0,2,585.2700000000001,3,2,2,322,3,3.367295829986474,0.6931471805599453,6.37207327921728,4
12386.0,338.0,2,401.90000000000003,1,2,2,122,1,5.823045895483019,0.6931471805599453,5.9962033014551555,0
12388.0,16.0,6,2780.6600000000003,4,4,4,444,1,2.772588722239781,1.791759469228055,7.930443588579314,2
12390.0,80.0,1,549.8399999999999,2,1,2,212,1,4.382026634673881,0.0,6.30962732681335,6
12391.0,22.0,1,439.65999999999997,3,1,2,312,2,3.091042453358316,0.0,6.086001700931971,3
12393.0,72.0,4,1582.6000000000004,2,3,3,233,2,4.276666119016055,1.3862943611198906,7.366824343175093,6
12394.0,64.0,2,1272.48,2,2,3,223,2,4.1588830833596715,0.6931471805599453,7.148723031208825,6
12395.0,19.0,12,3018.6299999999987,3,4,4,344,3,2.9444389791664403,2.4849066497880004,8.012558365057973,2
